srcpos,srcwell,destpos,destwell,vol
water_plate,11,dest_plate,5,103.59460830781723
water_plate,22,dest_plate,13,180.0
water_plate,22,dest_plate,13,180.0
water_plate,22,dest_plate,13,180.0
water_plate,22,dest_plate,13,180.0
water_plate,12,dest_plate,13,103.59460830781723
water_plate,22,dest_plate,21,180.0
water_plate,23,dest_plate,21,180.0
water_plate,23,dest_plate,21,180.0
water_plate,23,dest_plate,21,180.0
water_plate,19,dest_plate,21,103.59460830781734
water_plate,23,dest_plate,6,180.0
water_plate,23,dest_plate,6,180.0
water_plate,23,dest_plate,6,180.0
water_plate,23,dest_plate,6,180.0
water_plate,21,dest_plate,6,114.0276461574731
water_plate,23,dest_plate,14,180.0
water_plate,24,dest_plate,14,180.0
water_plate,24,dest_plate,14,180.0
water_plate,24,dest_plate,14,180.0
water_plate,24,dest_plate,14,114.02764615747299
water_plate,24,dest_plate,22,180.0
water_plate,24,dest_plate,22,180.0
water_plate,24,dest_plate,22,180.0
water_plate,24,dest_plate,22,180.0
water_plate,24,dest_plate,22,114.02764615747299
water_plate,25,dest_plate,7,180.0
water_plate,25,dest_plate,7,180.0
water_plate,25,dest_plate,7,180.0
water_plate,25,dest_plate,7,180.0
water_plate,22,dest_plate,7,72.03120391889331
water_plate,25,dest_plate,15,180.0
water_plate,26,dest_plate,15,180.0
water_plate,26,dest_plate,15,180.0
water_plate,26,dest_plate,15,180.0
water_plate,23,dest_plate,15,72.0312039188932
water_plate,26,dest_plate,23,180.0
water_plate,26,dest_plate,23,180.0
water_plate,26,dest_plate,23,180.0
water_plate,26,dest_plate,23,180.0
water_plate,25,dest_plate,23,72.0312039188932
water_plate,27,dest_plate,8,180.0
water_plate,27,dest_plate,8,180.0
water_plate,27,dest_plate,8,180.0
water_plate,27,dest_plate,8,180.0
water_plate,27,dest_plate,8,162.61748387213152
water_plate,28,dest_plate,16,180.0
water_plate,28,dest_plate,16,180.0
water_plate,28,dest_plate,16,180.0
water_plate,28,dest_plate,16,180.0
water_plate,27,dest_plate,16,162.61748387213152
water_plate,28,dest_plate,24,180.0
water_plate,28,dest_plate,24,180.0
water_plate,28,dest_plate,24,180.0
water_plate,28,dest_plate,24,180.0
water_plate,29,dest_plate,24,162.61748387213152
water_plate,29,dest_plate,25,180.0
water_plate,29,dest_plate,25,180.0
water_plate,30,dest_plate,25,180.0
water_plate,30,dest_plate,25,180.0
water_plate,26,dest_plate,25,88.07649964836219
water_plate,30,dest_plate,33,180.0
water_plate,30,dest_plate,33,180.0
